,Year,Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
0,1990,0.816,1.5719999999999998,-3.936,-0.2289999999999999,-3.484,0.154976,-0.27,Down
1,1990,-0.27,0.816,1.5719999999999998,-3.936,-0.2289999999999999,0.148574,-2.576,Down
2,1990,-2.576,-0.27,0.816,1.5719999999999998,-3.936,0.1598375,3.514,Up
3,1990,3.514,-2.576,-0.27,0.816,1.5719999999999998,0.16163,0.7120000000000001,Up
4,1990,0.7120000000000001,3.514,-2.576,-0.27,0.816,0.153728,1.178,Up
5,1990,1.178,0.7120000000000001,3.514,-2.576,-0.27,0.154444,-1.372,Down
6,1990,-1.372,1.178,0.7120000000000001,3.514,-2.576,0.151722,0.807,Up
7,1990,0.807,-1.372,1.178,0.7120000000000001,3.514,0.1323099999999999,0.0409999999999999,Up
8,1990,0.0409999999999999,0.807,-1.372,1.178,0.7120000000000001,0.143972,1.253,Up
9,1990,1.253,0.0409999999999999,0.807,-1.372,1.178,0.133635,-2.678,Down
10,1990,-2.678,1.253,0.0409999999999999,0.807,-1.372,0.149024,-1.793,Down
11,1990,-1.793,-2.678,1.253,0.0409999999999999,0.807,0.13579,2.82,Up
12,1990,2.82,-1.793,-2.678,1.253,0.0409999999999999,0.139898,4.022,Up
13,1990,4.022,2.82,-1.793,-2.678,1.253,0.164342,0.75,Up
14,1990,0.75,4.022,2.82,-1.793,-2.678,0.175648,-0.017,Down
15,1990,-0.017,0.75,4.022,2.82,-1.793,0.16347,2.42,Up
16,1990,2.42,-0.017,0.75,4.022,2.82,0.172625,-1.225,Down
17,1990,-1.225,2.42,-0.017,0.75,4.022,0.168446,1.171,Up
18,1990,1.171,-1.225,2.42,-0.017,0.75,0.155292,-2.061,Down
19,1990,-2.061,1.171,-1.225,2.42,-0.017,0.143392,0.7290000000000001,Up
20,1990,0.7290000000000001,-2.061,1.171,-1.225,2.42,0.1405539999999999,0.1119999999999999,Up
21,1990,0.1119999999999999,0.7290000000000001,-2.061,1.171,-1.225,0.125075,2.48,Up
22,1990,2.48,0.1119999999999999,0.7290000000000001,-2.061,1.171,0.171604,-1.5519999999999998,Down
23,1990,-1.5519999999999998,2.48,0.1119999999999999,0.7290000000000001,-2.061,0.166956,-2.259,Down
24,1990,-2.259,-1.5519999999999998,2.48,0.1119999999999999,0.7290000000000001,0.171718,-2.428,Down
25,1990,-2.428,-2.259,-1.5519999999999998,2.48,0.1119999999999999,0.2098159999999999,-2.708,Down
26,1990,-2.708,-2.428,-2.259,-1.5519999999999998,2.48,0.192706,-2.292,Down
27,1990,-2.292,-2.708,-2.428,-2.259,-1.5519999999999998,0.148252,-4.978,Down
28,1990,-4.978,-2.292,-2.708,-2.428,-2.259,0.189858,3.547,Up
29,1990,3.547,-4.978,-2.292,-2.708,-2.428,0.127884,0.26,Up
30,1990,0.26,3.547,-4.978,-2.292,-2.708,0.1157425,-2.032,Down
31,1990,-2.032,0.26,3.547,-4.978,-2.292,0.123924,-1.739,Down
32,1990,-1.739,-2.032,0.26,3.547,-4.978,0.149082,-1.693,Down
33,1990,-1.693,-1.739,-2.032,0.26,3.547,0.1718559999999999,1.781,Up
34,1990,1.781,-1.693,-1.739,-2.032,0.26,0.16497,-3.682,Down
35,1990,-3.682,1.781,-1.693,-1.739,-2.032,0.156454,4.15,Up
36,1990,4.15,-3.682,1.781,-1.693,-1.739,0.18028,-2.487,Down
37,1990,-2.487,4.15,-3.682,1.781,-1.693,0.143978,2.343,Up
38,1990,2.343,-2.487,4.15,-3.682,1.781,0.154292,0.606,Up
39,1990,0.606,2.343,-2.487,4.15,-3.682,0.148006,1.077,Up
40,1990,1.077,0.606,2.343,-2.487,4.15,0.16355,-0.637,Down
41,1990,-0.637,1.077,0.606,2.343,-2.487,0.1265325,2.26,Up
42,1990,2.26,-0.637,1.077,0.606,2.343,0.151578,1.716,Up
43,1990,1.716,2.26,-0.637,1.077,0.606,0.197994,-0.284,Down
44,1990,-0.284,1.716,2.26,-0.637,1.077,0.155874,1.508,Up
45,1990,1.508,-0.284,1.716,2.26,-0.637,0.1767,-0.913,Down
46,1990,-0.913,1.508,-0.284,1.716,2.26,0.087465,-2.349,Down
47,1991,-2.349,-0.913,1.508,-0.284,1.716,0.13067,-1.798,Down
48,1991,-1.798,-2.349,-0.913,1.508,-0.284,0.142532,5.393,Up
49,1991,5.393,-1.798,-2.349,-0.913,1.508,0.182248,1.156,Up
50,1991,1.156,5.393,-1.798,-2.349,-0.913,0.179894,2.077,Up
51,1991,2.077,1.156,5.393,-1.798,-2.349,0.194998,4.751,Up
52,1991,4.751,2.077,1.156,5.393,-1.798,0.259656,2.702,Up
53,1991,2.702,4.751,2.077,1.156,5.393,0.23814,-0.924,Down
54,1991,-0.924,2.702,4.751,2.077,1.156,0.1937775,1.318,Up
55,1991,1.318,-0.924,2.702,4.751,2.077,0.202784,1.209,Up
56,1991,1.209,1.318,-0.924,2.702,4.751,0.223946,-0.363,Down
57,1991,-0.363,1.209,1.318,-0.924,2.702,0.196752,-1.635,Down
58,1991,-1.635,-0.363,1.209,1.318,-0.924,0.17954,2.106,Up
59,1991,2.106,-1.635,-0.363,1.209,1.318,0.176305,0.037,Up
60,1991,0.037,2.106,-1.635,-0.363,1.209,0.186558,1.3430000000000002,Up
61,1991,1.3430000000000002,0.037,2.106,-1.635,-0.363,0.174328,0.999,Up
62,1991,0.999,1.3430000000000002,0.037,2.106,-1.635,0.207228,-1.348,Down
63,1991,-1.348,0.999,1.3430000000000002,0.037,2.106,0.164108,0.47,Up
64,1991,0.47,-1.348,0.999,1.3430000000000002,0.037,0.176646,-1.329,Down
65,1991,-1.329,0.47,-1.348,0.999,1.3430000000000002,0.158566,-0.892,Down
66,1991,-0.892,-1.329,0.47,-1.348,0.999,0.1718579999999999,1.37,Up
67,1991,1.37,-0.892,-1.329,0.47,-1.348,0.148632,3.269,Up
68,1991,3.269,1.37,-0.892,-1.329,0.47,0.20432,-2.668,Down
69,1991,-2.668,3.269,1.37,-0.892,-1.329,0.175766,0.754,Up
70,1991,0.754,-2.668,3.269,1.37,-0.892,0.153814,-1.188,Down
71,1991,-1.188,0.754,-2.668,3.269,1.37,0.160632,-1.745,Down
